label,model_params,oos_ic_mean,oos_ic_std,oos_ic_ir,in_sample_ic_mean,gap_mean,n_folds,per_fold_oos_ic,seconds
max_depth=2,"{'objective': 'rank:ndcg', 'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.01, 'min_child_weight': 30, 'verbosity': 0, 'random_state': 0}",-0.010522301740662246,0.19042036329778167,-0.05525827993620275,0.0003236691100529976,0.010845970850715248,36,"[-0.1032, -0.1419, -0.0688, 0.1711, 0.0015, 0.0673, -0.1926, 0.0099, -0.0255, -0.2453, -0.1045, -0.0874, -0.231, -0.1296, 0.02, 0.5605, 0.3167, -0.1229, 0.0753, -0.0866, -0.2835, 0.007, -0.073, 0.0361, -0.1727, 0.2389, -0.2278, 0.1902, -0.0013, 0.0066, -0.1542, -0.1183, -0.1716, 0.4742, 0.1259, 0.0618]",12.2
max_depth=3,"{'objective': 'rank:ndcg', 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'min_child_weight': 30, 'verbosity': 0, 'random_state': 0}",-0.018700495590073533,0.18790620003595201,-0.09952037551978367,0.005488046801797902,0.024188542391871428,36,"[-0.0879, -0.1913, -0.1179, 0.173, 0.0036, 0.1008, -0.2184, -0.0145, -0.0188, -0.2437, -0.1051, -0.0437, -0.2229, -0.1716, 0.0694, 0.4758, 0.3322, -0.1122, 0.0875, -0.1197, -0.3262, -0.0476, -0.0253, -0.0084, -0.2384, 0.2234, -0.2617, 0.1355, -0.0216, 0.0137, -0.1339, -0.0425, -0.1598, 0.4528, 0.1264, 0.0657]",13.0
max_depth=4,"{'objective': 'rank:ndcg', 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.01, 'min_child_weight': 30, 'verbosity': 0, 'random_state': 0}",-0.014085789601982975,0.18573944275094895,-0.07583628653861142,0.007319071782954326,0.021404861384937295,36,"[-0.0998, -0.1803, -0.1185, 0.139, -0.001, 0.0976, -0.2099, 0.0046, -0.0525, -0.252, -0.1154, -0.0046, -0.1869, -0.1624, 0.0422, 0.524, 0.2894, -0.1214, 0.0662, -0.1154, -0.2991, -0.043, -0.0054, 0.0517, -0.2191, 0.2548, -0.2637, 0.1668, -0.0128, -0.0041, -0.1285, -0.0297, -0.1606, 0.4193, 0.1526, 0.0709]",15.5
max_depth=5,"{'objective': 'rank:ndcg', 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'min_child_weight': 30, 'verbosity': 0, 'random_state': 0}",-0.016706225497127407,0.19188269482734854,-0.08706478461832771,0.00797591142434977,0.024682136921477183,36,"[-0.1153, -0.1776, -0.111, 0.1229, 0.0192, 0.1029, -0.2234, 0.0264, -0.0418, -0.2835, -0.1099, -0.0433, -0.234, -0.1415, 0.0262, 0.5527, 0.268, -0.1218, 0.0839, -0.1059, -0.3155, -0.0293, -0.0224, 0.0583, -0.2223, 0.254, -0.2775, 0.1464, -0.008, -0.0125, -0.1261, -0.0294, -0.1717, 0.4355, 0.1611, 0.0648]",14.4
max_depth=6,"{'objective': 'rank:ndcg', 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.01, 'min_child_weight': 30, 'verbosity': 0, 'random_state': 0}",-0.015464868902294086,0.18969882348474154,-0.08152327261817734,0.00828517741623156,0.023750046318525644,36,"[-0.1092, -0.173, -0.1143, 0.1311, 0.0055, 0.0992, -0.2231, 0.0291, -0.0464, -0.2866, -0.1118, -0.0574, -0.2221, -0.1331, 0.0273, 0.5351, 0.2279, -0.1286, 0.116, -0.1047, -0.3069, -0.0357, 0.0228, 0.0747, -0.2332, 0.2464, -0.2756, 0.1522, -0.0027, -0.0113, -0.1205, -0.0169, -0.1733, 0.4475, 0.1539, 0.061]",15.2
min_child_weight=5,"{'objective': 'rank:ndcg', 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'min_child_weight': 5, 'verbosity': 0, 'random_state': 0}",-0.017872052514620467,0.18213678504478842,-0.09812434380142174,0.013742312849535088,0.03161436536415555,36,"[-0.1405, -0.1649, -0.1487, 0.1481, 0.0369, 0.0718, -0.2015, -0.0333, -0.0403, -0.2812, -0.1072, -0.0634, -0.2106, -0.1027, 0.0185, 0.5051, 0.285, -0.0923, 0.0341, -0.0695, -0.2691, -0.0692, 0.0091, 0.0362, -0.1979, 0.2513, -0.2776, 0.0875, 0.0367, -0.0248, -0.1162, -0.0165, -0.1727, 0.4411, 0.1542, 0.0412]",14.4
min_child_weight=15,"{'objective': 'rank:ndcg', 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'min_child_weight': 15, 'verbosity': 0, 'random_state': 0}",-0.020870264054269828,0.1817245963136997,-0.11484556563957259,0.011969822801826338,0.03284008685609616,36,"[-0.1212, -0.1535, -0.1513, 0.1498, 0.0259, 0.1024, -0.1905, -0.0338, -0.0428, -0.2788, -0.1092, -0.0769, -0.2094, -0.1093, -0.0284, 0.4621, 0.348, -0.161, 0.0635, -0.0682, -0.3111, -0.0378, -0.0243, 0.0306, -0.1819, 0.2502, -0.2787, 0.0845, 0.0145, -0.0097, -0.0937, -0.0453, -0.1803, 0.4057, 0.1587, 0.0499]",15.3
min_child_weight=30,"{'objective': 'rank:ndcg', 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'min_child_weight': 30, 'verbosity': 0, 'random_state': 0}",-0.016706225497127407,0.19188269482734854,-0.08706478461832771,0.00797591142434977,0.024682136921477183,36,"[-0.1153, -0.1776, -0.111, 0.1229, 0.0192, 0.1029, -0.2234, 0.0264, -0.0418, -0.2835, -0.1099, -0.0433, -0.234, -0.1415, 0.0262, 0.5527, 0.268, -0.1218, 0.0839, -0.1059, -0.3155, -0.0293, -0.0224, 0.0583, -0.2223, 0.254, -0.2775, 0.1464, -0.008, -0.0125, -0.1261, -0.0294, -0.1717, 0.4355, 0.1611, 0.0648]",16.3
min_child_weight=60,"{'objective': 'rank:ndcg', 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'min_child_weight': 60, 'verbosity': 0, 'random_state': 0}",-0.019062993356402706,0.19506265557416988,-0.09772753939133298,0.0022499637121135294,0.021312957068516228,36,"[-0.0875, -0.2012, -0.0955, 0.1837, -0.0366, 0.0704, -0.2378, -0.0326, -0.0113, -0.2527, -0.0961, -0.0282, -0.2336, -0.1879, -0.0133, 0.5561, 0.3135, -0.1222, -0.0645, -0.0783, -0.2924, -0.0145, 0.0256, 0.0308, -0.2321, 0.2404, -0.2266, 0.1696, -0.0207, -0.0024, -0.1542, -0.0682, -0.178, 0.48, 0.1229, 0.0891]",16.7
subsample=0.6,"{'objective': 'rank:ndcg', 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'min_child_weight': 30, 'verbosity': 0, 'random_state': 0, 'subsample': 0.6}",-0.015037673438571446,0.1966045873868038,-0.07648688994721178,0.00413449654592827,0.019172169984499728,36,"[-0.1132, -0.1792, -0.1259, 0.1706, -0.0143, 0.0776, -0.2048, -0.0249, -0.0131, -0.2863, -0.1062, -0.0483, -0.2263, -0.1565, 0.0324, 0.5759, 0.3316, -0.1459, 0.0811, -0.1015, -0.3141, -0.0287, -0.0086, 0.0371, -0.2098, 0.2756, -0.2215, 0.1237, -0.0248, -0.0033, -0.149, -0.0407, -0.1713, 0.4531, 0.139, 0.079]",20.0
